title,rating,reviews_count,total_price,product_specifications,product_category,1_star,2_stars,3_stars,4_stars,5_stars,negative_reviews,cleaned_product_description,cleaned_product_details,sentiment_product_description,sentiment_product_details
Apple iPhone 15 Pro Max - 1 TB - Natural Titanium,4.6,26768,1897.96,"[{""specification_name"":""Rear Camera"",""specification_value"":""48 MP + 12 MP + 12 MP""},{""specification_name"":""Front Camera"",""specification_value"":""12 MP""},{""specification_name"":""Memory"",""specification_value"":""1 TB""},{""specification_name"":""Chipset"",""specification_value"":""Apple A17 Bionic""},{""specification_name"":""Battery"",""specification_value"":""4852 mAh""}]",iPhone,1943,352,710,1733,22030,2295,available,"first iphone feature aerospace grade titanium design making lightest pro models ever. featuring a17 pro chip. monster win gaming. mobile games look feel immersive, incredibly detailed environments realistic characters. iphone 15 pro camera, multiple focal lengths work with. like seven pro lenses pocket, everywhere go.",0.0,0.743
Apple iPhone 13 - Pink - 256 GB - Unlocked,4.7,70359,1024.22,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2482""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,2221,719,1498,5748,60173,2940,"battery life varies use configuration. , features may available countries areas. , accessories sold separately.","bigger show launch new iphone, iphone 13 disappoint. full improvements previous phones, new iphone starts glorious 6.1 screen stretches almost edge. improved camera system means sharp shake-free photos even low lighting. even entry models get generous 128gb, fit memories. inside, 5g lightning-fast connectivity go. heart, monster processor keep competition playing catch-up years. whether games, films filmmaking, want great everyday phone, iphone 13 simply one best phones is.",0.0,0.9774
Apple iPhone XR - White - 64 GB - AT&T,4.6,63721,155.15,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A1984""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""3 in""}]",iPhone,2976,1177,2375,7882,49311,4153,"advanced lcd , exceptional materials , aerospace-grade aluminum bands , advanced face id , breakthrough camera system , enhanced bokeh effect","iphone xr features advanced lcd smartphonea 6.1-inch liquid retina display industry-leading color accuracy innovative backlight design allows screen stretch corners.1 six stunning new finishes. advanced face id lets securely unlock iphone, log apps, pay glance. a12 bionic chip next-generation neural engine uses real-time machine learning transform way experience photos, gaming, augmented reality, more. breakthrough 12mp camera system portrait mode, portrait lighting, enhanced bokeh, all-new depth control. water resistance.2 ios 12the advanced mobile operating system worldwith powerful new tools make iphone personal ever.",0.4588,0.9231
Apple iPhone 15 Pro - All Sizes - All Colours - Unlocked - Excellent Condition,4.5,17683,1381.57,"[{""specification_name"":""Display diagonal"",""specification_value"":""15.5 cm (6.1\"")""},{""specification_name"":""Maximum refresh rate"",""specification_value"":""120 Hz""},{""specification_name"":""Processor family"",""specification_value"":""Apple""},{""specification_name"":""Processor model"",""specification_value"":""A17 Pro""},{""specification_name"":""Processor cores"",""specification_value"":""6""}]",iPhone,1407,344,639,1264,14029,1751,"become super recruiter earn rewards , double data , earn 5 recommending friend , free eu roaming , free calls texts network","apple iphone 15 pro 128gb natural titanium compact device excellent cameras. thanks powerful a17 pro chip, even demanding apps respond quickly play 3d games without slowing down. take sharp photos every situation 3 cameras. telephoto lens, zoom 3 times without losing quality. give new action button function. make quickly open camera, example. quickly control apps like spotify via dynamic island, menu top screen. 128gb storage, regularly delete apps photos. choose 256gb storage, that. like watch movies series large screen choose iphone 15 pro max. iphone 15 series usb-c port, use old lightning accessories anymore.",0.9501,0.9682
Apple iPhone 14 Plus - 128 GB - Midnight,4.6,10666,559.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2886""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""78.1 mm""}]",iPhone,570,152,288,1039,8617,722,"6.7-inch super retina xdr display , advanced camera system better photos light , cinematic mode 4k dolby vision 30 fps , action mode smooth, steady, handheld videos , vital safety features-emergency sos via satellite crash detection , description","iphone 14 plus model comes midnight 128gb storage making great choice business users. highlights iphone 14 plus iphone 14 plus supports ios 16 giving even greater levels customisation before. well lifestyle benefits, ability track activity without needing use apple watch, gives all-important live updates favourite apps even intelligent widgets perfect home work mix. iphone 14 plus also includes apple amazing 26 hour battery life. apple best battery ever and, unlike previous models, available pro models. perfect all-day battery performance, giving even longer performance without compromising quality. amazing quality built right - 6.7 screen 21% bigger previous model comes oled technology, high resolutions colour accuracy, plus true tone capabilities support different lighting conditions. even new always-on display gives eyes important information glance. visually minded, expect see new main camera gives improved image processing better performance low light, plus new action mode video recording, keeps video footage steady corporate videos. inside, apple iphone 14 plus comes a15 bionic chip, 5-core gpu - technology found iphone 13 pro.",0.9022,0.9925
Apple iPhone 15 Pro Max - 256 GB - Blue Titanium - Unlocked,4.6,26768,1294.0,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2849""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""3 in""}]",iPhone,1943,352,710,1733,22030,2295,"a17 pro chip harness power apple advanced chip, delivering next-level speed performance apps games. , 256gb storage store content ease, high-resolution photos 4k videos apps, ample space digital life. , ios 17 get access latest ios features, security updates, exclusive apple services seamless experience.","apple launched iphone 15 pro max september 2023. iphone 15 pro max one four models 17th-generation iphone lineup. complete 17th-generation lineup also includes iphone 15, iphone 15 plus, iphone 15 pro. iphone 15 pro max features include always-on 6.7 super retina xdr display promotion, apple a17 pro chip, 1tb storage. new features introduced iphone 15 pro max include usb-c support usb 3, improved rear camera system, action button.",0.7506,0.8807
Apple iPhone 13 128GB Midnight,4.7,70359,851.49,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2633""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,2221,719,1498,5748,60173,2940,available,"apple designed totally new architecture turned lenses 45 degrees fit best dual-camera system ever biggest wide camera sensor. also made room sensor-shift optical image stabilisation equipped ultra wide camera faster sensor. introducing cinematic mode! filmmakers use technique called rack focus shifting focus one subject another guide audience attention films. iphone makes easy bring storytelling technique videos. cinematic mode anticipates prominent new subject enter scene automatically shifts focus do. effortlessly create videos look feel like movies. a15 bionic truedepth camera also power face id, secure facial authentication smartphone. want change focus adjust blur shooting wraps problem, iphone lets taps swipes. even pro movie cameras that.",0.0,0.9412
Apple iPhone 11 128GB Yellow,4.6,109084,437.61,"[{""specification_name"":""Launched"",""specification_value"":""Yes""},{""specification_name"":""Form factor"",""specification_value"":""Touchscreen""},{""specification_name"":""Body type"",""specification_value"":""Glass""},{""specification_name"":""Dimensions (mm)"",""specification_value"":""150.90 x 75.70 x 8.30""},{""specification_name"":""IP rating"",""specification_value"":""IP68""}]",iPhone,5479,1665,3180,11908,86852,7144,"shoot edit highest-quality video smartphone. , new ultra wide camera. , toughest glass smartphone.","liquid retina display stretching edge-to-edge 6.1 liquid retina display offers space content. stunning screen offers plenty detail superb brightness, true tone technology accurate colours. a13 bionic processor a13 bionic processor provides breath-taking performance demanding operations games also power-efficient, drain battery. dual camera system ultra wide iphone 11 comes amazing dual-camera system ultra wide camera perfect taking photos landscapes, groups, large interiors action shots. quicktake useful feature ensures miss unexpected moment video. iphone 11, simply take videos photo mode holding shutter. truedepth camera front-facing truedepth 12 mpx camera lets take amazing selfies stunning group photos full vivid colors. even take slofie, slow-motion, high-quality selfie using front camera powerful sound experience enjoy amazing audio quality dolby atmos delivers wider dynamic range richer sound. create videos unique sound quality, make clearer speakerphone calls, watch videos play games cinematic feeling.",-0.4019,0.9928
Apple iPhone 14 - 128 GB - Purple - Unlocked,4.6,27052,526.99,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2649""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,1425,399,841,2552,21835,1824,"stunningly yours. , bring light. , keeps going, going. , safety first.","product overview iphone 14 plus. think big larger 6.7-inch display all-day battery life. capture stunning photos low light bright light new dual-camera system. get peace mind groundbreaking safety features. key features 6.7-inch super retina xdr display advanced camera system better photos light cinematic mode 4k dolby vision 30 fps action mode smooth, steady, handheld videos vital safety features emergency sos via satellite crash detection all-day battery life 26 hours video playback a15 bionic chip 5-core gpu lightning-fast performance. superfast 5g cellular industry-leading durability features ceramic shield water resistance ios 16 offers even ways personalize, communicate, share display rounded corners. measured standard rectangular shape, screen 6.68 inches diagonally. actual viewable area less. emergency sos via satellite available november 2022. service included free two years activation iphone 14 model. connection response times vary based location, site conditions, factors. data plan required. 5g available select markets select carriers. speeds vary based site conditions carrier. splash, water, dust resistance permanent conditions. resistance might decrease result normal wear. attempt charge wet iphone refer user guide cleaning drying instructions. features may available countries areas.",0.4215,0.9698
Apple iPhone 14 Pro 128GB Space Black,4.5,8230,1023.52,"[{""specification_name"":""Product Type"",""specification_value"":""Smartphone""},{""specification_name"":""Manufacturer Model Number"",""specification_value"":""A2890""},{""specification_name"":""Form Factor"",""specification_value"":""Touch""},{""specification_name"":""Protection"",""specification_value"":""Dustproof, splashproof, waterproof""},{""specification_name"":""Width"",""specification_value"":""2.8 in""}]",iPhone,481,209,369,919,6252,690,"3x better low-light photos ultra wide camera , 2x better low-light photos main camera , 2x better low-light photos telephoto camera","apple iphone 14 pro one greatest phones ever made, full host features, services extras everything could hope smartphone - plus lot more. features low weight 200g, huge 6.1in display, come memory 1tb, enough data might need store it. phone quite simply full package, latest smartphone technology small package going love carrying around. amazed phone get it. take look see features full glory find exactly might want get apple iphone 14 pro.",0.8271,0.9597
